div,league_id,name
SC0,179,Scotland Premiership
SC1,179,Scotland Championship
UECL,848,Europa Conference League
E2,40,England Championship
N1,88,Netherlands Eredivisie
SP1,140,Spain La Liga
UCL,2,Champions League
E0,39,England Premier League
F1,61,France Ligue 1
SP2,141,Spain Segunda Division
UEL,3,Europa League
D2,79,Germany 2. Bundesliga
B1,144,Belgium Pro League
D1,78,Germany Bundesliga
I2,136,Italy Serie B
I1,135,Italy Serie A
SC2,182,Scotland League One
E3,41,England League One
T1,203,Turkey Super Lig
P1,94,Portugal Primeira Liga
G1,197,Greece Super League
E1,42,England League Two
EC,872,Euro Championship Qualifiers
F2,62,France Ligue 2
SC3,183,Scotland League Two
NO1,103,Norway Eliteserien
SW1,113,Sweden Allsvenskan
FI1,244,Finland Veikkausliiga
EE1,329,Estonia Meistriliiga
BR1,71,Brazil Serie A
