Div,Date,Time,HomeTeam,AwayTeam,Referee,B365H,B365D,B365A,BFDH,BFDD,BFDA,BMGMH,BMGMD,BMGMA,BVH,BVD,BVA,BWH,BWD,BWA,CLH,CLD,CLA,LBH,LBD,LBA,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BMGMCH,BMGMCD,BMGMCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,CLCH,CLCD,CLCA,LBCH,LBCD,LBCA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
B1,23/09/2025,19:30,Anderlecht,Gent,,1.7,3.9,4.75,1.73,3.75,4.33,1.75,3.9,4.2,1.67,4,4.6,1.77,3.9,4.2,1.75,3.9,4.2,1.75,3.9,4.2,1.77,4.03,4.51,1.77,4,4.75,1.72,3.87,4.34,1.75,4.1,5,1.65,2.2,1.69,2.26,1.67,2.2,1.64,2.16,1.71,2.34,-0.75,1.88,1.93,1.99,1.92,1.96,1.93,1.89,1.86,1.94,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,24/09/2025,19:30,Club Brugge,Westerlo,,1.33,5.5,8,1.3,5.5,8,1.3,5.8,8,1.29,5.5,8,1.32,6,8.25,1.33,5.75,8,1.3,5.75,8,1.3,5.99,8.06,1.33,6,8.25,1.3,5.69,7.95,1.33,6.2,9.6,1.53,2.4,1.34,3.28,1.53,3.3,1.33,3.09,1.3,3.5,-1.75,2.1,1.7,2.06,1.81,2.1,1.83,1.98,1.77,2.05,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,23/09/2025,19:45,Altrincham,Forest Green,A Jackson,3.4,3.5,1.95,3.4,3.4,2.05,3,3.4,2.08,3.4,3.5,1.95,3.2,3.3,1.98,3.2,3.3,2,3.2,3.3,2,3.41,3.75,2.04,3.4,3.66,2.08,3.24,3.43,2.01,3.7,3.85,2.04,1.75,2.05,1.76,2.09,1.75,2.05,1.73,1.99,1.78,2.12,0.5,1.83,1.98,1.82,2.04,1.83,2,1.76,1.96,1.9,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,23/09/2025,19:45,Brackley Town,Truro,M Scholes,1.8,3.3,4,1.8,3.4,4.33,1.8,3.25,4.1,1.75,3.4,4.33,1.77,3.25,4,1.75,3.3,4,1.75,3.3,4,1.85,3.7,4.13,1.84,3.6,4.33,1.79,3.36,4.1,1.86,3.75,4.6,2.08,1.73,2.08,1.76,2.18,1.75,2.04,1.7,2.12,1.8,-0.5,1.83,1.98,1.85,2,1.83,1.98,1.77,1.93,1.86,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,23/09/2025,19:45,Gateshead,Hartlepool,W Davis,3.1,3.4,2.1,3.1,3.4,2.15,2.95,3.45,2.08,3,3.5,2.1,2.95,3.4,2.05,3,3.4,2.05,3,3.4,2.05,3.26,3.65,2.13,3.2,3.5,2.15,3.03,3.43,2.1,3.35,3.85,2.16,1.7,2.1,1.69,2.19,1.7,2.15,1.66,2.1,1.71,2.32,0.25,1.95,1.85,2,1.86,1.95,1.85,1.89,1.81,2.04,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,23/09/2025,19:45,Rochdale,Solihull,S Copeland,1.48,4.2,5,1.5,4.2,6,1.49,4,5.25,1.5,4.1,5.75,1.47,4,5.25,1.48,4,5.25,1.48,4,5.25,1.5,4.44,6.06,1.5,4.25,6,1.49,4.1,5.48,1.52,4.6,6,1.65,2.2,1.67,2.21,1.67,2.2,1.65,2.12,1.69,2.3,-1,1.83,1.98,1.84,2.02,1.83,1.98,1.78,1.93,1.85,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,23/09/2025,19:45,Woking,Sutton,L Sandoe,2.15,3.3,3.1,2.15,3.4,3.1,2.04,3.4,3.05,2.15,3.4,3,2.05,3.3,2.95,2.1,3.3,3,2.1,3.3,3,2.22,3.61,3.1,2.2,3.5,3.1,2.12,3.36,3.02,2.34,3.6,3.15,1.83,1.98,1.84,2,1.83,2,1.76,1.95,1.86,2.04,-0.25,1.9,1.9,1.94,1.91,1.9,1.9,1.85,1.85,2.03,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,23/09/2025,19:45,York,Carlisle,Z Kennard-Kettle,1.91,3.6,3.3,1.95,3.5,3.5,1.81,3.55,3.6,1.95,3.5,3.4,1.88,3.3,3.4,1.91,3.4,3.4,1.91,3.4,3.4,2.01,3.57,3.67,1.96,3.6,3.75,1.91,3.47,3.47,2.04,3.7,3.7,1.73,2.08,1.8,2.03,1.75,2.08,1.7,2.04,1.81,2.12,-0.5,1.95,1.85,2.02,1.85,1.95,1.85,1.91,1.78,2.04,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,24/09/2025,19:45,Aldershot,Yeovil,S Parkinson,1.95,3.4,3.4,2.05,3.4,3.4,2.02,3.35,3.1,1.95,3.5,3.4,1.98,3.3,3.2,2,3.3,3.2,2,3.3,3.2,1.99,3.75,3.37,2.05,3.75,3.4,2,3.4,3.27,1.88,3.45,3.15,1.73,2.08,1.72,2.05,1.8,2.08,1.74,1.97,1.63,1.89,-0.5,2,1.8,2.01,1.82,2,1.8,1.95,1.76,1.88,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,24/09/2025,19:45,Boston Utd,Braintree Town,J O'Connor,2.05,3.5,3.1,2.1,3.3,3.3,2.25,3.3,2.75,2.1,3.4,3.1,2.05,3.3,3,2.05,3.3,3,2.05,3.3,3,2.09,3.57,3.23,2.25,3.6,3.3,2.11,3.35,3.04,1.94,3.25,2.92,1.85,1.95,1.84,1.96,1.85,1.95,1.81,1.88,1.73,1.82,-0.25,1.83,1.98,1.83,1.99,1.83,1.98,1.8,1.9,1.68,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
